*WEATHER DATA: GGCMI

@ INSI      LAT     LONG  ELEV   TAV   AMP REFHT WNDHT
 GGCMI    -9.25    34.75   -99  22.2  13.8
@DATE  SRAD  TMIN  TMAX  RAIN
15322  23.2  15.3  29.2   0.0
15323  21.3  15.6  28.1   0.0
15324  21.2  16.0  28.6   0.0
15325  22.1  16.3  27.8   3.8
15326  18.9  16.9  28.1   0.0
15327  21.0  17.3  28.0   0.9
15328  19.6  16.3  28.7   6.5
15329  19.7  16.8  30.0  14.7
15330  19.3  16.4  32.1  25.9
15331  19.6  16.8  27.4   0.0
15332  17.3  18.0  27.0   6.4
15333  21.5  17.2  26.7   9.3
15334   9.1  18.2  28.3  14.4
15335  12.9  17.2  25.8  51.7
15336   7.6  17.1  22.6  16.2
15337  10.9  17.0  23.4  18.1
15338  12.5  17.2  24.2  12.0
15339  16.7  16.7  25.3   2.9
15340  18.3  16.0  25.0   5.5
15341   9.0  16.4  22.9  18.5
15342  13.2  16.1  23.3  17.6
15343  18.6  15.6  24.6   0.0
15344  25.5  15.2  24.7   0.0
15345  23.3  15.4  25.8   0.0
15346  19.7  15.5  25.2   0.3
15347  21.2  15.8  25.4   2.5
15348  22.2  16.2  24.7  11.4
15349  18.7  16.3  24.7   2.5
15350  22.4  16.6  26.1   0.8
15351  24.7  15.1  26.0   0.0
15352  23.3  14.8  26.3   0.0
15353  24.8  15.1  26.0   0.8
15354  22.5  15.9  25.4   3.5
15355  18.3  15.5  25.0   5.8
15356  20.0  16.8  28.4  13.2
15357  22.3  16.1  25.4  24.0
15358  16.9  16.5  25.5   8.1
15359  18.8  17.0  25.2  10.3
15360  18.8  16.9  25.0   4.0
15361  16.0  16.4  24.4  10.4
15362  16.0  16.0  24.0   6.7
15363  15.6  17.1  25.1   4.9
15364  15.0  17.3  25.6   5.4
15365  22.1  17.1  26.3  17.8
16001  18.1  16.1  23.7   7.7
16002  17.0  16.2  23.3  14.1
16003  15.1  16.1  27.0  15.4
16004  16.2  16.4  23.6   8.8
16005  16.4  16.5  23.9   7.4
16006  15.5  16.3  23.9   9.7
16007  14.6  17.3  23.6  13.4
16008  14.7  16.5  23.2   9.1
16009  16.0  16.1  23.5  12.2
16010  22.6  15.3  24.5   8.3
16011  21.9  15.7  24.8   5.4
16012  19.5  16.2  26.8   6.6
16013  20.7  15.9  24.4  12.6
16014  20.7  15.9  24.8  11.2
16015  21.1  16.0  25.3   7.1
16016  20.5  15.8  25.9   4.3
